date,animal_id,bin_id,start_time,end_time,duration_sec,start_weight_kg,end_weight_kg,diet,intake_kg
2023-05-25,188463851,174,01:15:49,01:16:01,12,0.1,0.1,HEIFER,0
2023-05-25,187878245,87,01:12:24,01:16:16,232,1.2,0.9,HEIFER,0.3
2023-05-25,187878278,172,01:15:31,01:16:27,56,0.1,0,HEIFER,0.1
2023-05-25,187878261,86,01:16:08,01:16:35,27,1.4,1.4,HEIFER,0
2023-05-25,187878245,88,01:16:54,01:16:58,4,1,1,HEIFER,0
2023-05-25,187878272,176,01:15:55,01:17:09,74,1.9,1.8,HEIFER,0.1
2023-05-25,187878265,167,01:14:48,01:17:17,149,1,0.8,HEIFER,0.2
2023-05-25,187878262,83,01:15:58,01:17:31,93,5.2,5.1,HEIFER,0.1
2023-05-25,187878243,174,01:17:50,01:17:53,3,0,0,HEIFER,0
2023-05-25,187878266,82,01:17:51,01:18:10,19,0.1,0.1,HEIFER,0
2023-05-25,188463840,167,01:17:27,01:18:20,53,0.8,0.8,HEIFER,0
2023-05-25,187878245,87,01:17:10,01:19:43,153,0.9,0.7,HEIFER,0.2
2023-05-25,187878243,173,01:19:11,01:19:54,43,0.4,0.4,HEIFER,0
2023-05-25,187878262,83,01:18:44,01:20:09,85,5.1,5,HEIFER,0.1
2023-05-25,187878219,90,01:17:12,01:20:25,193,3.1,2.8,HEIFER,0.3
2023-05-25,187878141,84,01:17:17,01:20:42,205,2.9,2.6,HEIFER,0.3
2023-05-25,187878141,83,01:21:13,01:21:26,13,5,5,HEIFER,0
2023-05-25,187878245,87,01:20:26,01:21:35,69,0.7,0.6,HEIFER,0.1
2023-05-25,187878265,167,01:18:27,01:21:56,209,0.8,0.6,HEIFER,0.2
2023-05-25,187878243,174,01:21:32,01:22:07,35,0.1,0,HEIFER,0.1
2023-05-25,187878262,84,01:20:53,01:22:21,88,2.6,2.5,HEIFER,0.1
2023-05-25,187878139,176,01:17:19,01:22:58,339,1.8,1.5,HEIFER,0.3
2023-05-25,187878219,89,01:21:03,01:23:41,158,1.2,1,HEIFER,0.2
2023-05-25,187878265,167,01:22:53,01:23:52,59,0.6,0.5,HEIFER,0.1
2023-05-25,187878274,169,01:20:00,01:24:29,269,0.7,0.4,HEIFER,0.3
2023-05-25,187878261,86,01:17:20,01:24:36,436,1.4,1.1,HEIFER,0.3
2023-05-25,187878262,84,01:24:05,01:24:46,41,2.5,2.4,HEIFER,0.1
2023-05-25,187878265,168,01:24:11,01:25:00,49,0,0,HEIFER,0
2023-05-25,187878243,173,01:24:48,01:25:08,20,0.4,0.4,HEIFER,0
2023-05-25,187878218,110,01:23:08,01:25:15,127,6.6,6.4,HEIFER,0.2
2023-05-25,187878139,176,01:23:43,01:25:43,120,1.5,1.4,HEIFER,0.1
2023-05-25,187878178,170,01:18:08,01:25:54,466,1.9,1.4,HEIFER,0.5
2023-05-25,187878262,84,01:25:33,01:26:19,46,2.4,2.3,HEIFER,0.1
2023-05-25,187878252,87,01:26:26,01:26:36,10,0.6,0.6,HEIFER,0
2023-05-25,187878274,169,01:25:20,01:26:48,88,0.4,0.3,HEIFER,0.1
2023-05-25,187878139,175,01:26:09,01:26:49,40,0.7,0.6,HEIFER,0.1
2023-05-25,187878219,90,01:24:25,01:26:53,148,2.8,2.6,HEIFER,0.2
2023-05-25,187878261,85,01:25:22,01:27:19,117,0.1,0.1,HEIFER,0
2023-05-25,187878178,170,01:26:54,01:27:56,62,1.4,1.3,HEIFER,0.1
2023-05-25,187878139,176,01:27:31,01:28:10,39,1.3,1.3,HEIFER,0
2023-05-25,187878252,88,01:28:00,01:28:17,17,1,1,HEIFER,0
2023-05-25,187878219,90,01:27:29,01:28:44,75,2.6,2.5,HEIFER,0.1
2023-05-25,187878262,83,01:27:01,01:29:33,152,5,4.9,HEIFER,0.1
2023-05-25,187878261,85,01:29:55,01:30:09,14,0.1,0.1,HEIFER,0
2023-05-25,187878262,84,01:30:21,01:30:56,35,2.3,2.3,HEIFER,0
2023-05-25,187878178,169,01:31:04,01:31:18,14,0.3,0.3,HEIFER,0
2023-05-25,187878219,90,01:29:22,01:31:36,134,2.5,2.3,HEIFER,0.2
2023-05-25,187878139,175,01:30:00,01:32:30,150,0.6,0.5,HEIFER,0.1
2023-05-25,187878290,108,01:30:45,01:32:53,128,5.1,4.8,HEIFER,0.3
2023-05-25,187878274,170,01:30:52,01:32:59,127,1.3,1.1,HEIFER,0.2
2023-05-25,187878262,84,01:32:08,01:33:12,64,2.3,2.2,HEIFER,0.1
2023-05-25,188463838,175,01:33:36,01:33:43,7,0.5,0.5,HEIFER,0
2023-05-25,187878219,90,01:32:33,01:34:12,99,2.3,2.2,HEIFER,0.1
2023-05-25,187878139,176,01:33:13,01:34:29,76,1.3,1.2,HEIFER,0.1
2023-05-25,188463838,176,01:34:36,01:34:49,13,1.2,1.2,HEIFER,0
2023-05-25,187878290,108,01:33:49,01:34:59,70,4.8,4.7,HEIFER,0.1
2023-05-25,187878246,90,01:34:35,01:35:16,41,2.2,2.2,HEIFER,0
2023-05-25,187878219,89,01:34:50,01:35:57,67,1,0.9,HEIFER,0.1
2023-05-25,187878218,108,01:36:44,01:37:02,18,4.7,4.6,HEIFER,0.1
2023-05-25,187878290,110,01:35:54,01:37:17,83,6.4,6.2,HEIFER,0.2
2023-05-25,188463838,175,01:36:33,01:37:32,59,0.5,0.4,HEIFER,0.1
2023-05-25,187878274,170,01:34:00,01:37:46,226,1.1,0.9,HEIFER,0.2
2023-05-25,187878252,87,01:35:04,01:38:17,193,0.6,0.3,HEIFER,0.3
2023-05-25,187878139,176,01:35:36,01:38:27,171,1.2,1,HEIFER,0.2
2023-05-25,187878139,175,01:38:56,01:39:06,10,0.4,0.3,HEIFER,0.1
2023-05-25,187878218,109,01:37:40,01:39:09,89,8.5,8.3,HEIFER,0.2
2023-05-25,187878246,89,01:36:04,01:39:14,190,0.9,0.7,HEIFER,0.2
2023-05-25,187878290,110,01:39:00,01:39:18,18,6.2,6.1,HEIFER,0.1
2023-05-25,187878261,86,01:34:17,01:39:31,314,1.1,1,HEIFER,0.1
2023-05-25,188463838,176,01:38:33,01:39:48,75,1,1,HEIFER,0
2023-05-25,187878252,87,01:38:35,01:40:32,117,0.3,0.2,HEIFER,0.1
2023-05-25,187878246,90,01:40:19,01:40:34,15,2.2,2.2,HEIFER,0
2023-05-25,187878139,175,01:39:26,01:40:44,78,0.3,0.3,HEIFER,0
2023-05-25,187878274,170,01:38:18,01:41:13,175,0.8,0.7,HEIFER,0.1
2023-05-25,188463815,110,01:40:03,01:41:11,68,6.1,6,HEIFER,0.1
2023-05-25,188463838,176,01:40:35,01:41:23,48,1,1,HEIFER,0
2023-05-25,187878249,91,01:37:19,01:41:31,252,0.7,0.4,HEIFER,0.3
2023-05-25,187878139,176,01:41:32,01:41:35,3,1,1,HEIFER,0
2023-05-25,188463838,175,01:41:39,01:42:50,71,0.3,0.3,HEIFER,0
2023-05-25,187878246,90,01:43:10,01:43:13,3,2.2,2.2,HEIFER,0
2023-05-25,187878265,168,01:43:10,01:43:14,4,0,0,HEIFER,0
2023-05-25,187878274,170,01:41:43,01:43:17,94,0.7,0.6,HEIFER,0.1
2023-05-25,187878249,92,01:42:40,01:43:49,69,0,0,HEIFER,0
2023-05-25,187878246,89,01:43:49,01:44:14,25,0.7,0.7,HEIFER,0
2023-05-25,187878252,87,01:42:39,01:44:32,113,0.2,0,HEIFER,0.2
2023-05-25,187878290,108,01:40:14,01:45:16,302,4.6,4.2,HEIFER,0.4
2023-05-25,187878139,176,01:41:57,01:45:21,204,1,0.8,HEIFER,0.2
2023-05-25,187878218,109,01:40:02,01:45:25,323,8.3,7.9,HEIFER,0.4
2023-05-25,187878252,88,01:45:26,01:45:47,21,1,0.9,HEIFER,0.1
2023-05-25,187878246,90,01:44:33,01:45:48,75,2.2,2.2,HEIFER,0
2023-05-25,187878155,110,01:43:47,01:46:20,153,6,5.7,HEIFER,0.3
2023-05-25,187878274,169,01:44:10,01:46:47,157,0.3,0.1,HEIFER,0.2
2023-05-25,187878252,88,01:46:11,01:46:48,37,0.9,0.9,HEIFER,0
